prob_baja_2,enviados,TPR,sensibilidad,especificidad,FPR,precision,accuracy,f1,ganancia
0.011204481792717087,22857,0.8551360842844601,0.8551360842844601,0.8650405501248882,0.13495944987511177,0.04261276632978956,0.8649714607677421,0.0811801966994499,442832500.0
0.011111111111111112,23847,0.8647936786654961,0.8647936786654961,0.8590027444571217,0.14099725554287834,0.04130498595211138,0.8590431395605204,0.07884415272552629,427707500.0
0.010752688172043012,24126,0.8674275680421423,0.8674275680421423,0.8573005643097228,0.1426994356902772,0.04095167039708199,0.8573712059969133,0.07821096378389075,423335000.0
0.01056338028169014,24410,0.8700614574187884,0.8700614574187884,0.8555675475654507,0.14443245243454927,0.040598115526423596,0.8556686509394674,0.07757642177776039,418825000.0
0.010380622837370242,24699,0.8726953467954346,0.8726953467954346,0.8538036942243054,0.14619630577569465,0.04024454431353496,0.8539354743881825,0.07694093970121527,414177500.0
0.010309278350515464,25087,0.8762071992976295,0.8762071992976295,0.851435443584446,0.148564556415554,0.039781560170606294,0.851608240856422,0.07610767940212004,407907500.0
0.01,25287,0.8779631255487269,0.8779631255487269,0.8502143143482686,0.14978568565173145,0.03954601178471151,0.8504078782979348,0.07568303943086355,404607500.0
0.01,25487,0.8797190517998245,0.8797190517998245,0.848993185112091,0.151006814887909,0.03931416016008161,0.8492075157394479,0.07526477878765117,401307500.0
0.009950248756218905,25688,0.8814749780509219,0.8814749780509219,0.8477658885565389,0.1522341114434611,0.039084397383992525,0.848001028882193,0.07484996458791515,397980000.0
0.009146341463414634,26016,0.884108867427568,0.884108867427568,0.8457615097597829,0.15423849024021707,0.0387069495694957,0.8460290046789642,0.07416682010679433,392260000.0
0.009079118028534372,26787,0.8902546093064091,0.8902546093064091,0.8410496777575627,0.15895032224243733,0.037854182999216036,0.8413929105117464,0.07262049702785933,378757500.0
0.008575197889182058,28303,0.9016681299385426,0.9016681299385426,0.831780196737488,0.16821980326251196,0.03628590608769389,0.8322677053477376,0.06976428231777733,351367500.0
0.008210180623973728,28912,0.9060579455662863,0.9060579455662863,0.8280551358352092,0.17194486416479082,0.035694521306032095,0.8285992503858308,0.06868323849455923,340120000.0
0.007739938080495356,29558,0.9104477611940298,0.9104477611940298,0.824101884116069,0.175898115883931,0.03508356451722038,0.8247041963695156,0.06756360556406164,327855000.0
0.007662835249042145,30080,0.9139596136962248,0.9139596136962248,0.8209072126800087,0.17909278731999134,0.03460771276595745,0.8215563068028711,0.0666901566353823,317900000.0
0.007326007326007326,30353,0.9157155399473222,0.9157155399473222,0.8192358691294829,0.18076413087051713,0.03436233650709979,0.8199088704343352,0.06623904483678394,312592500.0
0.007317073170731708,30763,0.9183494293239683,0.9183494293239683,0.8167257701440069,0.18327422985599306,0.03400188538178981,0.8174346537321476,0.065575825967024,304617500.0
0.007263922518159807,31176,0.9209833187006146,0.9209833187006146,0.8141971692004071,0.18580283079959292,0.033647677700795485,0.8149420641336567,0.06492341018103048,296560000.0
0.006738544474393531,31918,0.9253731343283582,0.9253731343283582,0.809651854821302,0.19034814517869802,0.033022119180399774,0.8104590774356336,0.06376864204253259,281655000.0
0.006711409395973154,32216,0.9271290605794557,0.9271290605794557,0.8078263282864103,0.19217367171358968,0.032778743481499874,0.8086585335979031,0.06331884275221106,275660000.0
0.006345177664974619,33004,0.9315188762071993,0.9315188762071993,0.802997317216072,0.19700268278392796,0.03214761847048843,0.8038938291565616,0.06215036757168381,259490000.0
0.006185567010309278,33489,0.9341527655838455,0.9341527655838455,0.8000246692774985,0.1999753307225015,0.03177162650422527,0.8009602900467896,0.06145315929305764,249452500.0
0.006097560975609756,33981,0.9367866549604916,0.9367866549604916,0.7970088501033026,0.20299114989669742,0.0313998999440864,0.7979838808456432,0.0607630979498861,239222500.0
